case_id,segment,unsold_units,avg_unit_price,gross_stock_value,ead,absorption_speed_units_per_month,time_to_sale_months,discount_to_clear,holding_cost_rate_pa,selling_cost_rate,contract_rate_proxy,cost_of_funds_proxy,discount_rate,lgd_base,time_to_sale_base,net_recovery_pv_base,final_overlay_addon_base,lgd_final_base,lgd_mild_stress,time_to_sale_mild_stress,net_recovery_pv_mild_stress,final_overlay_addon_mild_stress,lgd_final_mild_stress,lgd_severe_stress,time_to_sale_severe_stress,net_recovery_pv_severe_stress,final_overlay_addon_severe_stress,lgd_final_severe_stress,lgd_downturn,final_overlay_addon,lgd_final
RS0001,townhouse,36,706072.2152917935,25418599.750504564,16710052.465745067,2.2149001185915678,14.419879715988504,0.0820750320879281,0.043408951882897506,0.03258190621628261,0.07005494598297642,0.05933622856715637,0.07005494598297642,0.0,16.25355459499999,19168576.590378344,0.014299972263633555,0.014299972263633555,0.0,19.82140804268292,17076599.911050986,0.017329880668435386,0.017329880668435386,0.15430319680351068,25.005468607692293,14131637.951526217,0.021569918521566245,0.17587311532507693,0.15430319680351068,0.021569918521566245,0.17587311532507693
RS0002,suburban_apartment,71,721173.6234377776,51203327.26408221,39360999.95510604,5.454344225834738,12.198749115878673,0.07723957285159677,0.061432803050519444,0.033336969569130986,0.07827210160691242,0.06039473720529981,0.07827210160691242,0.013686175051006992,13.017146894342572,38822298.41953778,0.012180508265996043,0.025866683317003036,0.1165478945298707,15.874569383344602,34773558.2837481,0.014766397321622311,0.13131429185149301,0.25994207853592843,20.026379837450108,29129419.813523192,0.018361278855438253,0.2783033573913667,0.25994207853592843,0.018361278855438253,0.2783033573913667
RS0003,metro_apartment,66,1125754.9925306693,74299829.50702417,47423211.02402666,8.670712285975906,5.5957583546489955,0.14503835848801971,0.0659115821420141,0.027331557158603994,0.0630212790185197,0.043042314687522,0.0630212790185197,0.0,7.611831395530104,56166249.578973316,0.012900767169760394,0.012900767169760394,0.0,9.282721214061104,51469767.637913354,0.013700767169760394,0.013700767169760394,0.0509323425006585,11.710509839277083,45007835.79766993,0.014700767169760393,0.0656331096704189,0.0509323425006585,0.014700767169760393,0.0656331096704189
RS0004,townhouse,48,787423.8833737755,37796346.401941225,26439507.418761496,3.6114991676849773,13.676312890830337,0.13648658005478387,0.06343414574266976,0.03442855013725485,0.07564630711587894,0.055226206386062314,0.07564630711587894,0.0,13.29087943020867,26455517.395277865,0.013536531244976098,0.013536531244976098,0.11185348443776781,16.208389549034965,23482156.38715481,0.016159975069242532,0.12801345950701035,0.26816765309754176,20.447506815705648,19349286.76521718,0.01980942336091171,0.2879770764584535,0.26816765309754176,0.01980942336091171,0.2879770764584535
RS0005,metro_apartment,66,846398.9746203807,55862332.32494512,40622620.12786701,3.5655695245942063,17.442111151491215,0.1130269133990934,0.0666041734606405,0.02754351748581239,0.07049608485377351,0.04303910676843031,0.07049608485377351,0.0632287074014205,18.510366869795195,38054104.365923055,0.016329517561603866,0.07955822496302437,0.19014991565682243,22.57361813389658,32898232.336793963,0.01966904960166723,0.20981896525848967,0.36709630188411135,28.47748749199261,25710206.506083965,0.024358967950477248,0.3914552698345886,0.36709630188411135,0.024358967950477248,0.3914552698345886
RS0006,metro_apartment,102,1019981.3561198921,104038098.32422899,59798252.201869585,5.905384271265474,16.3136072967381,0.17539149707195278,0.07344979951279541,0.025441597086365644,0.08326516639527436,0.05106211239695535,0.08326516639527436,0.0,17.272373026817824,64299703.807680905,0.016803063083200197,0.016803063083200197,0.08111683889361865,21.063869544899784,54947607.01189055,0.019972748407001424,0.10108958730062007,0.2962499745926751,26.57288157971973,42083021.50637934,0.024415880928763886,0.320665855521439,0.2962499745926751,0.024415880928763886,0.320665855521439
RS0007,mixed_stock,57,685696.0845903974,39084676.82165265,24663165.90488194,4.425647228961628,12.516902073669526,0.09703918062348812,0.04697967805226449,0.01844201917353717,0.07922985309053392,0.0625004740347632,0.07922985309053392,0.0,12.879472097773524,30038740.604666695,0.012490453673578214,0.012490453673578214,0.0,15.706673289967714,27070276.8242532,0.015057454418699583,0.015057454418699583,0.07042405523340631,19.814572458113112,22926285.74696587,0.018624891398790457,0.08904894663219676,0.07042405523340631,0.018624891398790457,0.08904894663219676
RS0008,suburban_apartment,15,478362.10180817224,7175431.527122583,4652676.109818942,6.707488095122816,3.0,0.14917016316631718,0.060062474715065636,0.028600622983278392,0.06323759382819279,0.04159131903414601,0.06323759382819279,0.0,2.236306615423869,5753410.734883758,0.012983403263326344,0.012983403263326344,0.0,2.727203189541304,5416704.967734804,0.013783403263326343,0.013783403263326343,0.0,3.440471716036722,4976590.296515513,0.014783403263326344,0.014783403263326344,0.0,0.014783403263326344,0.014783403263326344
RS0009,metro_apartment,63,967937.911016451,60980088.39403641,41532328.32532345,5.024267448722542,12.243500154331407,0.13897607156434602,0.05917018683746991,0.02483561103496994,0.07754035705353764,0.06411091600728039,0.07754035705353764,0.0,12.539141405782097,43675718.88630089,0.013116484809900731,0.013116484809900731,0.06034130699451392,15.291635860709874,39026213.35164816,0.01563679384423059,0.07597810083874451,0.21588474773802654,19.2909867781263,32566132.1018381,0.019136388167615856,0.2350211359056424,0.21588474773802654,0.019136388167615856,0.2350211359056424
RS0010,mixed_stock,25,817330.8084094075,20433270.210235186,16546232.433336854,6.6519386944425625,4.2349952474146075,0.08017009912269699,0.053963675808827494,0.030009248956987082,0.06017325925286261,0.06275090108577844,0.06275090108577844,0.0,3.7583028269467564,17499838.055560242,0.01160340198245394,0.01160340198245394,0.005913312951332876,4.583296130422874,16448389.38279304,0.01240340198245394,0.018316714933786817,0.09088388766113044,5.782004349148856,15042446.503650514,0.01340340198245394,0.10428728964358439,0.09088388766113044,0.01340340198245394,0.10428728964358439
