case_id,segment,no_income_asset_flag,zoning_stage,gross_land_value,ead,liquidity_risk,market_depth,time_to_sell_months,value_haircut_base,holding_cost_rate_pa,selling_cost_rate,contract_rate_proxy,cost_of_funds_proxy,discount_rate,lgd_base,time_to_sell_base,recovery_pv_base,final_overlay_addon_base,lgd_final_base,lgd_mild_downturn,time_to_sell_mild_downturn,recovery_pv_mild_downturn,final_overlay_addon_mild_downturn,lgd_final_mild_downturn,lgd_severe_downturn,time_to_sell_severe_downturn,recovery_pv_severe_downturn,final_overlay_addon_severe_downturn,lgd_final_severe_downturn,lgd_downturn,final_overlay_addon,lgd_final
LAND0001,broadacre_subdivision,1,rezoning_pending,91932076.30756141,76949518.21584536,0.6220899873630863,0.3593343366607773,44.65392011144531,0.3380986888281499,0.0825519751947099,0.029404476601752504,0.07918206718782884,0.04545395607443654,0.07918206718782884,0.7866743663564488,44.65392011144531,16415304.731961193,0.04359135575191052,0.8302657221083594,0.9333669499997493,53.58470413373437,5127381.094771619,0.04412978770733239,0.9774967377070818,1.0,64.7481841615957,0.0,0.04412978770733239,1.0,1.0,0.04412978770733239,1.0
LAND0002,broadacre_subdivision,1,titled,68841533.1417852,52493655.46278379,0.5352724026587505,0.403529398740846,42.33350214080831,0.23839605978490686,0.06368668339325347,0.02095370127375919,0.07658941317673029,0.047833487673599046,0.07658941317673029,0.5578969814685433,42.33350214080831,23207603.533847004,0.04039649612460818,0.5982934775931514,0.7209274182007307,50.800202568969965,14649539.958080385,0.041863095268284856,0.7627905134690156,0.9276785290510027,61.383578104172045,3796418.378558393,0.041863095268284856,0.9695416243192876,0.9276785290510027,0.041863095268284856,0.9695416243192876
LAND0003,masterplan_stage,1,titled,73922356.90503949,68365633.22936937,0.2160923398694103,0.6057007458335051,38.556409288754026,0.12372737438603257,0.06898855509889572,0.02462252714392281,0.0812737118707219,0.06687817112533524,0.0812737118707219,0.5044950780244701,38.556409288754026,33875507.759126365,0.030076001562887755,0.534571079587358,0.64529957117494,46.26769114650483,24249319.423354086,0.033053437847386145,0.6783530090223261,0.8255920995606305,55.90679346869334,11923506.5537423,0.033053437847386145,0.8586455374080166,0.8255920995606305,0.033053437847386145,0.8586455374080166
LAND0004,broadacre_subdivision,1,rezoning_pending,59512435.303689115,48520407.52802859,0.7050902889037631,0.525680100217299,32.02341243876986,0.20950805202350115,0.047523579210818456,0.021083668497218763,0.0673548587761393,0.07236334764357023,0.07236334764357023,0.43228797752973724,32.02341243876986,27545618.688818473,0.03820300955097562,0.47049098708071285,0.5687652567702234,38.42809492652383,20923685.48175353,0.040764882546077214,0.6095301393163006,0.752596457717212,46.43394803621629,12004120.695438731,0.04379364457546768,0.7963901022926796,0.752596457717212,0.04379364457546768,0.7963901022926796
LAND0005,masterplan_stage,1,rezoning_pending,27312190.091341015,19067502.35568239,0.3055648578913278,0.9167141006854937,28.239277079402715,0.2679474261363043,0.038521357470821894,0.035093088628781244,0.07747993769135618,0.053358007253195894,0.07747993769135618,0.3067819200658147,28.239277079402715,13217937.372146703,0.024006438781361716,0.3307883588471764,0.45404178164148207,33.887132495283254,10410059.614655202,0.026265580947713932,0.480307362589196,0.6550617739614063,40.94695176513394,6577110.437555789,0.029089508655654208,0.6841512826170605,0.6550617739614063,0.029089508655654208,0.6841512826170605
LAND0006,broadacre_subdivision,1,titled,131394681.63842902,71785751.7290276,0.6738907529665843,0.4682447211595101,39.40933755406288,0.13084984016468343,0.07804175580115433,0.02868464817968353,0.07588574470136521,0.05605653388313109,0.07588574470136521,0.28261651209857996,39.40933755406288,51497912.95699521,0.04122261342704272,0.32383912552562266,0.523383363228582,47.291205064875456,34214283.55719714,0.043858878405417565,0.5672422416339996,0.8296096774025568,57.14353945339118,12231597.395008983,0.043858878405417565,0.8734685558079743,0.8296096774025568,0.043858878405417565,0.8734685558079743
LAND0007,broadacre_subdivision,1,da_approved,145074530.94243842,96706691.36384663,0.26430570998075303,0.44152550970775095,29.478558092871577,0.22327661003539764,0.0677349853960706,0.031498040959229937,0.09135933053743168,0.07287374796725876,0.09135933053743168,0.3656278771546305,29.478558092871577,61348029.09383535,0.02937923132027068,0.3950071084749012,0.533182435342492,35.37426971144589,45144382.14855614,0.03173751596770041,0.5649199513101923,0.7525618477491742,42.74390923466378,23928925.021361098,0.034685371776987564,0.7872472195261618,0.7525618477491742,0.034685371776987564,0.7872472195261618
LAND0008,masterplan_stage,1,raw_land,173506444.77780566,115916557.08557121,0.5543818700294292,0.8009121871176408,29.19595018149446,0.2528508282379306,0.05929496830524376,0.024269456210212367,0.06309251825402405,0.05574409629098739,0.06309251825402405,0.32631157972421754,29.19595018149446,78091642.22678603,0.03075507122777468,0.3570666509519922,0.49257531877912175,35.03514021779335,58818922.02736771,0.03309074724229424,0.525666066021416,0.7185306097328149,42.33412776316697,32626962.644747075,0.03601034226044368,0.7545409519932585,0.7185306097328149,0.03601034226044368,0.7545409519932585
LAND0009,regional_land,1,raw_land,43733116.21480322,26490005.26739113,0.5421613704866074,0.05,40.25218567481356,0.4095599134584054,0.07364058111779095,0.02227744846184366,0.06670250177566855,0.050287720149121196,0.06670250177566855,0.7064998472144381,40.25218567481356,7774820.593269635,0.04394410167965758,0.7504439488940957,0.8997916042734686,48.302622809776274,2654520.9306326336,0.04624322740973215,0.9460348316832008,1.0,58.36566922847966,0.0,0.04624322740973215,1.0,1.0,0.04624322740973215,1.0
LAND0010,broadacre_subdivision,1,titled,101442417.49672566,75925252.14597543,0.514383402321931,0.4816921209381721,25.68869961146171,0.15622346835191903,0.07017300323990151,0.029662599335430494,0.08695324852944368,0.04284137179263904,0.08695324852944368,0.3387341723873949,25.68869961146171,50206774.69700416,0.03238284243976524,0.37111701482716014,0.48573406478605974,30.82643953375405,39045770.80120428,0.03443793840868217,0.5201720031947419,0.6818286657644386,37.248614436619484,24157238.777456425,0.03700680836982835,0.718835474134267,0.6818286657644386,0.03700680836982835,0.718835474134267
LAND0011,infill_land,1,da_approved,15926088.217120022,10833409.486782597,0.3551877244771951,0.19387152308943845,24.62598523409095,0.1539469533626219,0.06604005473785535,0.018704425008389005,0.07518148662192266,0.06744533458741989,0.07518148662192266,0.22081236458831863,24.62598523409095,8441258.721452609,0.03222769030610702,0.25304005489442566,0.3801761364741185,29.55118228090914,6714805.723255526,0.03419776912483429,0.4143739055989528,0.5965925620044337,35.70767858943188,4370277.965819831,0.03666036764824339,0.6332529296526771,0.5965925620044337,0.03666036764824339,0.6332529296526771
LAND0012,masterplan_stage,1,da_approved,168839711.00262344,108523427.28262895,0.6053137457884068,0.2793551478162883,53.031342787086,0.19764616055983456,0.03924188200718393,0.029361030772337614,0.06238882942474881,0.04422939523972451,0.06238882942474881,0.3952411349274022,53.031342787086,65630504.71723128,0.04475401314197268,0.4399951480693749,0.598471798559401,63.63761134450319,43575216.57096363,0.04475401314197268,0.6432258117013737,0.8298381763437016,72.0,18466544.295843825,0.04475401314197268,0.8745921894856743,0.8298381763437016,0.04475401314197268,0.8745921894856743
LAND0013,masterplan_stage,1,da_approved,97262589.86086515,69292129.59737256,0.2435399897437668,0.3150133038279353,47.38347574844822,0.22166514428565368,0.06829513943065092,0.014012172063927098,0.09486027823457883,0.053757562317189096,0.09486027823457883,0.5740020092869367,47.38347574844822,29518307.980709895,0.03709064014894012,0.6110926494358768,0.7504321009827601,56.86017089813786,17293091.202046577,0.03709064014894012,0.7875227411317003,0.9626581492541278,68.70603983524991,2587496.361288721,0.03709064014894012,0.999748789403068,0.9626581492541278,0.03709064014894012,0.999748789403068
LAND0014,masterplan_stage,1,raw_land,108017246.90923235,79727164.90465838,0.16281504539372993,0.5790091558514605,31.475418753137955,0.26222631282739717,0.056771561587338794,0.02085501241793191,0.06920374543733268,0.04542815255453165,0.06920374543733268,0.3978384588433305,31.475418753137955,48008632.49104102,0.026498358538912255,0.42433681738224277,0.5513683485021303,37.77050250376554,35768129.66041988,0.02901639203916329,0.5803847405412936,0.757584445232447,45.639357192050035,19327104.91040695,0.03216393391447708,0.789748379146924,0.757584445232447,0.03216393391447708,0.789748379146924
LAND0015,masterplan_stage,1,titled,167141863.66340846,100790210.02038513,0.6088814063289028,0.7741964396092951,21.997404248359302,0.25003916199570614,0.06850715912428453,0.029361848516367094,0.0821395487008229,0.04211222169866355,0.0821395487008229,0.2355446330381074,21.997404248359302,77049616.98729974,0.029286232550610233,0.26483086558871766,0.40248524322427043,26.396885098031163,60223637.825705126,0.03104602489047898,0.4335312681147494,0.6288972360945416,31.89623616012099,37403525.513176546,0.03324576531531491,0.6621430014098565,0.6288972360945416,0.03324576531531491,0.6621430014098565
LAND0016,infill_land,1,da_approved,54904941.63580558,31245056.123319596,0.95,0.4990965683051244,16.731787532794712,0.1468535341752717,0.07430684721867029,0.032756545597022624,0.06791566533225957,0.03694325260420163,0.06791566533225957,0.020760782674108448,16.731787532794712,30596384.303503036,0.0373035561934564,0.058064338867564846,0.18643980741069738,20.078145039353654,25419733.87715146,0.03864209919607997,0.22508190660677735,0.41674850168526145,24.261091922552332,18223725.79885425,0.04031527794935944,0.4570637796346209,0.41674850168526145,0.04031527794935944,0.4570637796346209
LAND0017,infill_land,1,rezoning_pending,34181187.32287292,25592225.730458014,0.267926919959698,0.40658354344074726,32.33240031192359,0.18239866530059923,0.04971951944434684,0.02402400413310728,0.07023144739937949,0.05773118543373586,0.07023144739937949,0.32970365079450964,32.33240031192359,17154375.47516882,0.03101249600267443,0.36071614679718406,0.483396812166229,38.79888037430831,13221025.396116069,0.033599088027628315,0.5169959001938573,0.6906306838270979,46.881980452289206,7917449.373574346,0.03647953587790499,0.7271102197050029,0.6906306838270979,0.03647953587790499,0.7271102197050029
LAND0018,regional_land,1,da_approved,22288659.24957093,17818816.07514781,0.05468011057413624,0.5093518451874727,33.32438785917151,0.28534497567788686,0.05197235131571036,0.01796988903395911,0.06638543597927661,0.06881743353034593,0.06881743353034593,0.4608323965058202,33.32438785917151,9607328.360341012,0.025911135212901656,0.48674353171872187,0.6028113620865925,39.98926543100581,7077431.28611749,0.028577086241635376,0.6313884483282278,0.7931673777482786,48.32036239579869,3685512.4542439487,0.030981380069233053,0.8241487578175116,0.7931673777482786,0.030981380069233053,0.8241487578175116
