loan_id,facility_type,collateral_segment,collateral_value,senior_debt,mezz_ead,total_lvr,attachment_point,subordination,value_decline_base,market_liquidity_risk,market_beta,sale_cost_rate_base,time_to_recovery_months_base,contract_rate_proxy,cost_of_funds_proxy,discount_rate,decline_rate_base,discount_rate_base,net_collateral_base,residual_for_mezz_base,senior_lgd_base,mezz_lgd_base,lgd_base,ranking_gap_base,time_to_recovery_base,final_overlay_addon_base,lgd_final_base,lgd_value_stress,senior_lgd_value_stress,net_collateral_value_stress,residual_for_mezz_value_stress,time_to_recovery_value_stress,ranking_gap_value_stress,final_overlay_addon_value_stress,lgd_final_value_stress,lgd_liquidity_delay_stress,senior_lgd_liquidity_delay_stress,net_collateral_liquidity_delay_stress,residual_for_mezz_liquidity_delay_stress,time_to_recovery_liquidity_delay_stress,ranking_gap_liquidity_delay_stress,final_overlay_addon_liquidity_delay_stress,lgd_final_liquidity_delay_stress,lgd_combined_downturn,senior_lgd_combined_downturn,net_collateral_combined_downturn,residual_for_mezz_combined_downturn,time_to_recovery_combined_downturn,ranking_gap_combined_downturn,final_overlay_addon_combined_downturn,lgd_final_combined_downturn,lgd_downturn,senior_lgd_downturn,ranking_gap_downturn,final_overlay_addon,lgd_final,total_lvr_bucket
MEZ0001,mezzanine,cre_stabilised,45086245.40891146,25408378.170586653,5307360.058194538,0.6709314164840997,0.5550014468016848,0.11592996968241487,0.20595253103815475,0.5086144824760481,1.2440080357331325,0.07284848437458588,15.008809111695905,0.12240283419367132,0.0723739425971198,0.12240283419367132,0.20595253103815475,0.12240283419367132,33010511.08101886,7602132.910432208,0.1502291736308632,0.0,0.0,-0.1502291736308632,16.91723353142766,0.030968788133641706,0.030968788133641706,0.40952907419786533,0.16949068493217212,29181775.71143357,3773397.540846918,18.44813206082064,0.2400383892656932,0.030968788133641706,0.440497862331507,0.6434066578661175,0.18724864366770122,27736973.806034204,2328595.6354475506,20.009048208437015,0.4561580141984163,0.030968788133641706,0.6743754459997592,1.0,0.22914461910336004,24934210.8713989,0.0,22.050246247627655,0.77085538089664,0.030968788133641706,1.0,1.0,0.22914461910336004,0.77085538089664,0.030968788133641706,1.0,<=70%
MEZ0002,second_mortgage,residential_investment,5249409.924432089,3730989.4731025537,339238.9919669696,0.7839227239905846,0.7185855673791499,0.06533715661143469,0.05593575406477665,0.4885932752761534,1.1279310472828359,0.06858574461731981,17.18481332365328,0.11516066486378088,0.059976105756906505,0.11516066486378088,0.05593575406477665,0.11516066486378088,4591670.736332373,860681.263229819,0.16067707012602872,0.0,0.0,-0.16067707012602872,19.28390938035654,0.02905640505581234,0.02905640505581234,0.0,0.18166880362525528,4156419.4505691673,425429.9774666135,21.036760339369177,-0.18166880362525528,0.02905640505581234,0.02905640505581234,0.3905063624221602,0.20092043520241498,3989742.1885152715,258752.71541271778,22.82398092502912,0.1895859272197452,0.02905640505581234,0.41956276747797255,1.0,0.24348854827912814,3668391.984057727,0.0,25.16111553704596,0.7565114517208719,0.02905640505581234,1.0,1.0,0.24348854827912814,0.7565114517208719,0.02905640505581234,1.0,70-80%
MEZ0003,mezzanine,residual_stock,79363561.57451773,44734273.24294192,5395421.743912737,0.6174474572497604,0.5509920471890655,0.06645541006069489,0.1236843120274498,0.2741463492712145,1.244165544236219,0.05335104750512225,9.218249398663728,0.11233033017908324,0.05208066586967852,0.11233033017908324,0.1236843120274498,0.11233033017908324,65646438.24192942,20912164.998987496,0.08367479828370394,0.0,0.0,-0.08367479828370394,9.850036753492535,0.023805697488459034,0.023805697488459034,0.0,0.09567158937454612,58803109.331334405,14068836.088392481,10.790298192156238,-0.09567158937454612,0.023805697488459034,0.023805697488459034,0.0,0.10684327094634383,56220017.436900444,11485744.19395852,11.748996129617264,-0.10684327094634383,0.023805697488459034,0.023805697488459034,0.0,0.12431287756513987,51222277.17788378,6488003.934941858,13.002678047835529,-0.12431287756513987,0.023805697488459034,0.023805697488459034,0.0,0.12431287756513987,-0.12431287756513987,0.023805697488459034,0.023805697488459034,<=70%
MEZ0004,second_mortgage,cre_stabilised,65333900.994684145,49041466.26022275,9778913.073210228,0.9660441491257994,0.8054388985946281,0.16060525053117125,0.1681796317665004,0.27312347109778334,1.1535273712823864,0.056021924613274765,10.846833925783358,0.13923655650746064,0.08074833071441043,0.13923655650746064,0.1681796317665004,0.13923655650746064,51153066.29864116,2111600.038418412,0.11827662327288913,0.7945763176195296,0.8096059242747546,0.6913293010018655,11.587465158841143,0.034974056422288215,0.8445799806970429,1.0,0.19375641562441015,45638383.36728688,0.0,12.693842219271048,0.8062435843755899,0.034974056422288215,1.0,1.0,0.2436213371189424,43539543.86254409,0.0,13.821912947552518,0.7563786628810576,0.034974056422288215,1.0,1.0,0.3318154274879287,39473688.01769018,0.0,15.29708236145905,0.6681845725120713,0.034974056422288215,1.0,1.0,0.3318154274879287,0.6681845725120713,0.034974056422288215,1.0,90%+
MEZ0005,mezzanine,residual_stock,43957821.47443413,23280020.024001945,9470723.184308765,0.7337469979607671,0.5215651045361132,0.212181893424654,0.21559919980014222,0.5957267642936754,1.1321787019186125,0.06738197224257703,19.444399052937335,0.11839736094978148,0.04,0.11839736094978148,0.21559919980014222,0.11839736094978148,31951772.986849006,8671752.962847061,0.1880504628782943,0.21810669976841446,0.25654824165031787,0.06849777877202357,22.340286285797678,0.03752362995710621,0.2940718716074241,0.5816711247162593,0.2115263877603314,28304762.66131326,5024742.637311317,24.323614989197285,0.37014473695592787,0.03752362995710621,0.6191947546733655,0.7051751236367094,0.23295600252655213,26920234.667597324,3640214.643595379,26.345832490702772,0.4722191211101573,0.03752362995710621,0.7426987535938157,0.9259720844135532,0.26574485384207214,24234862.356533337,954842.3325313926,28.99027076190224,0.660227230571481,0.03752362995710621,0.9634957143706594,0.9259720844135532,0.26574485384207214,0.660227230571481,0.03752362995710621,0.9634957143706594,70-80%
MEZ0006,mezzanine,residential_investment,1541668.8144717417,1048458.0640591163,198639.79152571558,0.7834454953248063,0.6586570120745483,0.12478848325025804,0.09740671054552319,0.05895741036476787,1.3814212356264646,0.05308055507125427,9.910128917588901,0.11741634979134385,0.07218929079273592,0.11741634979134385,0.09740671054552319,0.11741634979134385,1316817.945701127,268359.88164201065,0.08883922111944542,0.0,0.0,-0.08883922111944542,10.056197801929411,0.023421937229552447,0.023421937229552447,0.4112795581700299,0.10176769170562738,1178650.7823037903,130192.71824467403,11.067030951523481,0.30951186646440254,0.023421937229552447,0.43470149539958236,0.6511009160700154,0.11388174012522434,1126670.2445700555,78212.18051093922,12.097684358952728,0.5372191759447911,0.023421937229552447,0.6745228532995678,1.0,0.1511506435093567,1026078.4188372324,0.0,13.445461891744813,0.8488493564906433,0.023421937229552447,1.0,1.0,0.1511506435093567,0.8488493564906433,0.023421937229552447,1.0,70-80%
MEZ0007,mezzanine,residential_investment,6402179.501058327,3703242.453215632,823585.7650581041,0.7017209083592142,0.5740537375937464,0.12766717076546774,0.12427445809627367,0.2359663249627199,0.8482374203559379,0.055021744199658516,14.017671889613956,0.12746313647217317,0.053046345793015606,0.12746313647217317,0.12427445809627367,0.12746313647217317,5284840.261751586,1581597.8085359535,0.13792152451751982,0.0,0.0,-0.13792152451751982,14.844596519695315,0.026102685037527783,0.026102685037527783,0.0,0.15625213252175085,4797897.052007857,1094654.5987922247,16.27439905243594,-0.15625213252175085,0.026102685037527783,0.026102685037527783,0.08893628639319251,0.17331098541618695,4610886.189071115,907643.735855483,17.732236928955793,-0.08437469902299444,0.026102685037527783,0.1150389714307203,0.4679979766572149,0.19929183976340814,4250444.686396025,547202.233180393,19.638640305943284,0.26870613689380674,0.026102685037527783,0.49410066169474265,0.4679979766572149,0.19929183976340814,0.26870613689380674,0.026102685037527783,0.49410066169474265,70-80%
MEZ0008,second_mortgage,residential_investment,2418466.868909114,1958535.4821056295,278861.4518112622,0.8775461065076342,0.7681717806638815,0.10937432584375273,0.11092515579024555,0.10866463087653994,1.056917027867024,0.05342451252390792,8.048557773046895,0.12151990010002894,0.06956303865930143,0.12151990010002894,0.11092515579024555,0.12151990010002894,2032988.267020267,74452.78491463745,0.07596955018450846,0.7450200878031692,0.7532945486447115,0.677324998460203,8.267206162921056,0.02646839210494746,0.7797629407496589,1.0,0.14424603915981526,1835508.7482652161,0.0,9.08815905577184,0.8557539608401847,0.02646839210494746,1.0,1.0,0.1886113009087973,1760128.7697312892,0.0,9.925209064168717,0.8113886990912027,0.02646839210494746,1.0,1.0,0.2687956143283542,1614577.7804084085,0.0,11.019812921303092,0.7312043856716458,0.02646839210494746,1.0,1.0,0.2687956143283542,0.7312043856716458,0.02646839210494746,1.0,80-90%
MEZ0009,mezzanine,residential_investment,1860852.5673590715,1316154.2405440996,223321.92085201573,0.8076693963702,0.6905059835589178,0.11716341281128217,0.1256394463147109,0.5478222993120863,0.9668718629441461,0.07637643720237709,12.794867308584665,0.13295420136990982,0.0658255413847396,0.13295420136990982,0.1256394463147109,0.13295420136990982,1493873.9584834466,177719.71793934703,0.14043209865343242,0.26843321725491753,0.3159553509381807,0.1755232522847483,14.54719571568014,0.033544698517911836,0.3495000494560926,0.8793968724004088,0.15791884644058973,1348138.4762706165,31984.235726516927,15.852272181155776,0.721478025959819,0.033544698517911836,0.9129415709183206,1.0,0.1892528454834277,1292065.0200298526,0.0,17.182938381248583,0.8107471545165723,0.033544698517911836,1.0,1.0,0.2793722379626593,1183862.9435697412,0.0,18.923040335216093,0.7206277620373407,0.033544698517911836,1.0,1.0,0.2793722379626593,0.7206277620373407,0.033544698517911836,1.0,80-90%
MEZ0010,second_mortgage,residual_stock,6709394.973145615,4363077.001054793,784468.2544464252,0.7785131430607424,0.6598704083032808,0.11864273475746157,0.19151690922330614,0.8931048769085606,0.9918769809591552,0.09272480633186686,22.63280841909449,0.11099071913749979,0.06756333967137491,0.11099071913749979,0.19151690922330614,0.11099071913749979,4873007.072582653,509930.0715278601,0.21559970980154408,0.41636897245981097,0.4901141074604316,0.2745143976588875,27.686176313402097,0.039649628567866566,0.5297637360282982,1.0,0.24411563569414618,4348615.610084189,0.0,29.994722772149732,0.7558843643058538,0.039649628567866566,1.0,1.0,0.301404584015713,4146974.1084915292,0.0,32.348534847735564,0.698595415984287,0.039649628567866566,1.0,1.0,0.39816284836323057,3756862.0718300226,0.0,35.42659679273241,0.6018371516367694,0.039649628567866566,1.0,1.0,0.39816284836323057,0.6018371516367694,0.039649628567866566,1.0,70-80%
