loan_id,purpose,ead,gross_value,exit_type_initial,exit_certainty,valuation_risk,time_to_exit_months,time_to_exit_effective_months,failure_prob_base,failed_exit_flag,final_exit_type,contract_rate_proxy,cost_of_funds_proxy,discount_rate,lgd_base,exit_time_base,exit_delay_bucket,final_overlay_addon_base,lgd_final_base,lgd_delay_stress,exit_time_delay_stress,final_overlay_addon_delay_stress,lgd_final_delay_stress,lgd_failed_exit_stress,exit_time_failed_exit_stress,final_overlay_addon_failed_exit_stress,lgd_final_failed_exit_stress,lgd_combined_downturn,exit_time_combined_downturn,final_overlay_addon_combined_downturn,lgd_final_combined_downturn,lgd_downturn,final_overlay_addon,lgd_final
BRG0001,acquisition_bridge,29760618.132088777,39576078.76060827,sale,0.6496273533252144,0.2623990539024363,3.086456553831538,3.086456553831538,0.2710373723945989,0,sale,0.08101691530040177,0.03892146202060032,0.08101691530040177,0.435770375955876,3.086456553831538,<=6m,0.013673586754634108,0.44944396271051007,0.4502291335702755,4.012393519981,0.013673586754634108,0.4639027203249096,0.4794050466193865,4.47536200305573,0.013673586754634108,0.4930786333740206,0.5140471091723774,4.938330486130461,0.013673586754634108,0.5277206959270115,0.5140471091723774,0.013673586754634108,0.5277206959270115
BRG0002,acquisition_bridge,38046404.09450673,47416205.5558068,refinance,0.5790353394672939,0.2708314045020376,10.448261122624308,15.45720000698987,0.39032361902159735,1,sale,0.10157640135840257,0.05652106206726183,0.10157640135840257,0.6164005848992593,15.45720000698987,12-18m,0.050096439667688446,0.6664970245669477,0.68135457812093,20.09436000908683,0.05318787966908642,0.7345424577900165,0.7329474049988692,22.412940010135312,0.0547335996697854,0.7876810046686546,0.7858961826107731,24.731520011183793,0.05627931967048439,0.8421755022812575,0.7858961826107731,0.05627931967048439,0.8421755022812575
BRG0003,residual_stock_exit_bridge,35406029.97135223,38703280.09667573,sale,0.8589934483117619,0.23738139807572367,10.529485477134756,10.529485477134756,0.24255005575641558,0,sale,0.08400997934412947,0.07029660550276791,0.08400997934412947,0.4330545539341067,10.529485477134756,9-12m,0.014342996557816635,0.4473975504919233,0.4800454100551552,13.688331120275183,0.016448893653243587,0.4964943037083988,0.5220510543593093,15.267753941845395,0.01750184220095706,0.5395528965602664,0.5708502293694404,16.84717676341561,0.018554790748670537,0.5894050201181109,0.5708502293694404,0.018554790748670537,0.5894050201181109
BRG0004,residual_stock_exit_bridge,29904575.64162719,36348711.84534915,sale,0.49147880818336653,0.3856401772291933,11.813947368263534,11.813947368263534,0.4791264571908352,0,sale,0.10482639664180621,0.07024721649602894,0.10482639664180621,0.6523317252048585,11.813947368263534,9-12m,0.017274927393384397,0.6696066525982429,0.704938624197286,15.358131578742595,0.019637716867037105,0.7245763410643231,0.7499253527002941,17.130223683982123,0.020819111603863457,0.7707444643041576,0.8020160064602802,18.902315789221657,0.022000506340689813,0.82401651280097,0.8020160064602802,0.022000506340689813,0.82401651280097
BRG0005,construction_refi_bridge,8458918.329296602,11848121.762979291,sale,0.6584524914647679,0.0797632109230037,7.247810459143182,7.247810459143182,0.26537674976474346,0,sale,0.09527390770458152,0.05793196430530834,0.09527390770458152,0.4280177763641403,7.247810459143182,6-9m,0.011116684952922052,0.43913446131706235,0.46466961301064225,9.422153596886137,0.011398120684179476,0.47606773369482175,0.5011938582865204,10.509325165757613,0.012122901730093793,0.5133167600166142,0.5438931694454934,11.596496734629092,0.012847682776008113,0.5567408522215015,0.5438931694454934,0.012847682776008113,0.5567408522215015
BRG0006,construction_refi_bridge,22201588.81673603,29022892.598886114,refinance,0.3595964418540292,0.4490960095993385,7.949047393479274,17.36159943937551,0.5186228237185831,1,sale,0.07019617273071357,0.07275485246959179,0.07275485246959179,0.7649729547368428,17.36159943937551,12-18m,0.05386174376064108,0.8188346984974839,0.8335067025715421,22.570079271188163,0.05733406364851619,0.8908407662200584,0.8764315933150975,25.17431918709449,0.05907022359245374,0.9355018169075512,0.9147155925730803,27.778559103000816,0.06028734413439074,0.9750029367074711,0.9147155925730803,0.06028734413439074,0.9750029367074711
BRG0007,acquisition_bridge,25162862.155482806,32039769.26184868,refinance,0.45028930091772124,0.5696792661628413,8.083933690921292,8.083933690921292,0.5061267775314925,0,refinance,0.10769629993575852,0.04886551068400532,0.10769629993575852,0.5719859452160724,8.083933690921292,6-9m,0.01797550972627978,0.5899614549423522,0.6119522493536262,10.50911379819768,0.0189815855917449,0.6309338349453711,0.650222428595152,11.721703851835873,0.019789978960837028,0.670012407555989,0.6948320463257671,12.934293905474068,0.020598372329929157,0.7154304186556962,0.6948320463257671,0.020598372329929157,0.7154304186556962
BRG0008,acquisition_bridge,24749858.75379127,35182600.72075386,refinance,0.6482932596955463,0.4640660630288934,9.00047853508937,9.00047853508937,0.389849196929621,0,refinance,0.06865317813154619,0.06845636601396243,0.06865317813154619,0.46494709733801437,9.00047853508937,9-12m,0.01649724390579742,0.4814443412438118,0.5061860525424827,11.70062209561618,0.018297339612815294,0.524483392155298,0.5451519672276174,13.050693875879585,0.01919738746632423,0.5643493546939417,0.5905993857302698,14.400765656142992,0.020097435319833167,0.610696821050103,0.5905993857302698,0.020097435319833167,0.610696821050103
BRG0009,acquisition_bridge,23896090.315838758,35741931.31360941,refinance,0.6384259943589975,0.6650835007918974,10.864204466916918,18.13114606241009,0.46775542932547143,1,sale,0.08159659361793763,0.07561020058097144,0.08159659361793763,0.7308756010273068,18.13114606241009,18m+,0.05739859971935996,0.7882742007466668,0.8029025535191963,23.570489881133117,0.061024828931841975,0.8639273824510383,0.837666862132744,26.29016179049463,0.06283794353808299,0.900504805670827,0.8770386237458372,29.009833699856145,0.06331116901108656,0.9403497927569238,0.8770386237458372,0.06331116901108656,0.9403497927569238
BRG0010,construction_refi_bridge,17581662.093970697,23404815.747824524,sale,0.49661054788018344,0.321417352344147,9.177756974979197,9.177756974979197,0.43057164850248864,0,sale,0.07705618634402693,0.06823576288707137,0.07705618634402693,0.590503900774251,9.177756974979197,9-12m,0.014618347582804189,0.6051222483570552,0.6327139268625482,11.931084067472955,0.01645389897780003,0.6491678258403483,0.6721886683311341,13.307747613719835,0.017371674675297946,0.6895603430064321,0.718185827261688,14.684411159966714,0.018289450372795866,0.7364752776344838,0.718185827261688,0.018289450372795866,0.7364752776344838
