loan_id,segment,property_value,ead,lvr_at_default,dscr,icr,wale_years,vacancy_rate,tenant_concentration,cap_rate_base,cap_rate_expansion,contract_rate_proxy,cost_of_funds_proxy,discount_rate,refinance_prob,refinance_flag,forced_sale_flag,resolution_path,lgd_base,downturn_scalar,lgd_downturn,time_to_recovery_months_base,time_to_recovery_months_downturn,final_overlay_addon,lgd_final
CRE0001,mixed-use,142824298.46573654,85947695.00892164,0.6113476382495623,1.2999893910898754,1.3912150986191798,2.3020178492916763,0.04904484631338861,0.3765747510060381,0.05859237959336321,0.019204818856558163,0.045756037318421046,0.04915511847370459,0.04915511847370459,0.38836832050741166,0,1,forced_sale,0.41343845792436906,1.182400300439797,0.4888497568631403,23.022389790290546,28.19785075054637,0.03792811830967172,0.526777875172812
CRE0002,office,104536472.95559111,73962158.56688039,0.7076543882492091,1.662704139736118,1.5772720963919469,4.50254005129808,0.11133421250257673,0.20075429409502824,0.052712666668794164,0.012926753630320094,0.04,0.057977483175306155,0.057977483175306155,0.6204595394206613,0,1,forced_sale,0.3815291101193976,1.1972465782498318,0.4567844215931521,21.81425414501265,26.68388692915588,0.03589049607698298,0.49267491767013505
CRE0003,office,74253779.10470575,48218500.22674522,0.6587734686055715,1.8655602318898867,1.8740221648907316,3.414443336328879,0.01,0.405830988831326,0.05540176439212138,0.005923801531628919,0.04797662883702164,0.05075764558898056,0.05075764558898056,0.4943529044364618,1,0,refinance,0.24116876092401562,1.0169399832164208,0.24525415568639344,11.410072649962675,12.79617911941816,0.01618776514676246,0.2614419208331559
CRE0004,industrial,94778256.97570571,57192184.126964465,0.6093221896433362,1.4196459002658959,1.4474695075418686,4.530626784325028,0.04583708465755132,0.24086804926096064,0.04880693132999446,0.03922945435671376,0.048336780068297544,0.05297696403599122,0.05297696403599122,0.512693396169583,0,1,forced_sale,0.3436336854130866,1.223008542244997,0.4202669326633349,23.2520090180786,28.595491908675047,0.03639772426185562,0.45666465692519054
CRE0005,mixed-use,26831157.783609826,19648603.86196425,0.7319069760779802,1.1462647357626403,1.1664553821069148,2.364894444438577,0.07967330235611939,0.4436330945643668,0.06554057194473147,0.006151731412677528,0.05966448774088122,0.04005224937405853,0.05966448774088122,0.29219688416842576,0,1,forced_sale,0.4900910704304272,1.1687716220268767,0.5728045353278587,23.19179168447228,28.32965327341159,0.039449717018252325,0.612254252346111
CRE0006,office,26275175.805385835,17953622.396961607,0.674702204800564,1.2301868697979172,1.3190534630676831,3.8892870112192957,0.059381614359537996,0.16889113550101378,0.05439989994598913,0.020392244289353826,0.05419877915063222,0.04799998700278806,0.05419877915063222,0.335448661435861,0,1,forced_sale,0.38370675663078146,1.189545439469435,0.45643662244375444,23.48197316072883,28.76771978936159,0.03868719543508412,0.4951238178788386
CRE0007,industrial,26423080.40252863,17979243.442060728,0.6693630235484174,1.575564550341539,1.0866232967431873,4.883531027518704,0.15160093709875633,0.20762645445485015,0.05765784394607665,0.016208611761360594,0.05332403695590341,0.042491412810783495,0.05332403695590341,0.5245603124272711,1,0,refinance,0.22598354611049043,1.1022585063932977,0.2490922860052101,12.875876210294454,14.47315637517479,0.017524487496057825,0.26661677350126795
CRE0008,industrial,37922887.48597637,21778480.576962814,0.57047336413327,1.448744912502666,1.182081972547262,4.171944624165008,0.017413726844695235,0.18875006485230572,0.054517219030853686,0.02718993313884217,0.06619045976594347,0.058510872763338016,0.06619045976594347,0.4433683994958165,1,0,refinance,0.16805964982830884,1.0649350366716812,0.17897260935294,12.838596074724771,14.466497745908839,0.016888543928186544,0.19586115328112652
CRE0009,retail,126289763.97565192,94395441.20112482,0.7536700763308877,1.1576009001641183,1.4780557210144114,3.631415054816369,0.13757604850770752,0.48072720333420527,0.05403071612159287,0.029561782050796945,0.05718961268199104,0.06868795260607649,0.06868795260607649,0.2926158810653333,0,1,forced_sale,0.4853692159512357,1.2439889641351423,0.6037939481742639,24.823002204209505,30.467515734387423,0.04013952200930849,0.6439334701835724
CRE0010,industrial,70373634.53125855,44720121.209468216,0.6404619547370941,1.6355684292812904,1.2602105920001088,5.049440576344453,0.03302238668151818,0.3995163419013907,0.05684031313322418,0.021819614323335464,0.05421723975249542,0.05561649353819,0.05561649353819,0.5603737285175839,0,1,forced_sale,0.3759680977648635,1.1806812640856874,0.44389848892491035,21.992917438513413,26.951328519074696,0.03567178389796721,0.47957027282287756
